file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0116_0127_1145519_to_1146947,ཁ་ཕྱེས་ད།  ,kha phyes da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0116_0127_1145519_to_1146947.wav,STT_MV,3,11,1.428,wav16k/STT_MV0116_0127_1145519_to_1146947.wav,ཁ་ཕྱིས་ད།
STT_PC0156_0292_1912660_to_1915092,ད་ལོ་ང་ཚོ་སློབ་གྲྭ་གཅིག་ཐོན་པ་རེད། བཀྲ་ཤིས་སྒྲོལ་མ།  ,da lo nga tsho slob grwa gcig thon pa red/_bkra shis sgrol ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0156_0292_1912660_to_1915092.wav,STT_PC,3,53,2.432,wav16k/STT_PC0156_0292_1912660_to_1915092.wav,ད་ལོ་ང་ཚོའི་སློབ་གྲྭ་ཅིག་ཐོན་པ་རེད། བཀྲ་ཤིས་སྒྲོལ་མ།
STT_MV0069_0031_189687_to_195262,ཨ་བཀྲ་ཤིས་བདེ་ལེགས། ཨ་ཧ་ལྷན་རྒྱས་ལྷོད་ལྷོད་བྱས་བཞུགས་ཨ། བཀྲ་ཤིས་བདེ་ལེགས། བཀྲ་ཤིས་བདེ་ལེགས། བཀྲ་ཤིས་བདེ་ལེགས་ཞུ་གི་ཡིན་ད།  ,a bkra shis bde legs/_a ha lhan rgyas lhod lhod byas bzhugs a/_bkra shis bde legs/_bkra shis bde legs/_bkra shis bde legs zhu gi yin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0069_0031_189687_to_195262.wav,STT_MV,3,123,5.575,wav16k/STT_MV0069_0031_189687_to_195262.wav,བཀྲ་ཤིས་བདེ་ལེགས། ལྷན་རྒྱས་ལྷོད་ལྷོད་བྱས་བཞུགས་ཨ། བཀྲ་ཤིས་བདེ་ལེགས། བཀྲ་ཤིས་བ་ལེ། བཀྲཤིས་བདེ་ལེགས་ཞུ་རིན་ད།
STT_MV0749_0211_2239880_to_2249460,ངས་བཤད་ཡོད་ད། ཁོ་རང་གཉིས་ཀིས་ཁྱེད་གཉིས་ཀི་དོན་དག་དེ་མཁྱེན་ཡོད་མ་རེད་ལ། མཁྱེན་བཅུག་ཡེ་ཆོག་མི་ཡོང་།  ,ngas bshad yod da/_kho rang gnyis kis khyed gnyis ki don dag de mkhyen yod ma red la/_mkhyen bcug ye chog mi yong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0211_2239880_to_2249460.wav,STT_MV,3,99,9.58,wav16k/STT_MV0749_0211_2239880_to_2249460.wav,ངས་བཤད་ཡོད་དང་། ཁོ་རང་གཉིས་ཀིས་ཁྱེད་གཉིས་ཀི་དོན་དག་དེ་མཁྱེན་ཡོད་མ་རེད་ལ། མཁྱེན་བཅུག་ཡེ་ཆོག་མི་ཡོང་།
STT_MV0069_0037_282299_to_291203,གཉིད་ལམ་རེད་འདུག་གེ་བལྟས་པ་ཡིན། དེ་རིང་ཉིན་མ་གང་བཟི་བཟི་འཁྱོམ་འཁྱོམ་བྱས་གཉིད་ལམ་གི་ཟོལ་ར་ཞིག་འདུག ,gnyid lam red 'dug ge bltas pa yin/_de ring nyin ma gang bzi bzi 'khyom 'khyom byas gnyid lam gi zol ra zhig 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0069_0037_282299_to_291203.wav,STT_MV,3,98,8.904,wav16k/STT_MV0069_0037_282299_to_291203.wav,གཉིད་ལམ་རེད་འདུག་གེ་བལྟས་པ་ཡིན། ད་རེས་ཉིན་མ་གང་ཟི་བཙི་འཁྱོམ་འཁྱོམ་བྱས་ གཉིད་ལམ་ག་བཟོལ་ར་ཞིག་འདུག
STT_NS_M0452_0062_357278_to_364616,ཌེ་ཕྀརའེ་ཤོན་ནང་འཛུལ། ཁྱོད་ཚོར་ཨེ་འདྲ་ལབ་སོང་བེ། ང་ཚོ་ལ་ཨེ་འདྲ་བཤད་མ་སོང་། ང་ཚོ་ལབ་སོང་ཡོད་བ། ཨ་ཅག་མོ་རང་འདྲ་བོ་ཡིན་ན་ད་ང་ཚོར་ཨ་ཅག་མོ་རང་གི་ད་ང་ཚོ་བསླབ་བྱ་འདྲ་བོ་རེད་ཤག ག་བྱས་ནས་ལབ་ན་ང་ཚོ་ད་ལྟ།  ,De ph-ira'e shon nang 'dzul/_khyod tshor e 'dra lab song be/_nga tsho la e 'dra bshad ma song /_nga tsho lab song yod ba/_a cag mo rang 'dra bo yin na da nga tshor a cag mo rang gi da nga tsho bslab bya 'dra bo red shag_ga byas nas lab na nga tsho da lta/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0452_0062_357278_to_364616.wav,STT_NS,3,195,7.338,wav16k/STT_NS_M0452_0062_357278_to_364616.wav,ཌི་ཕྀར་ཤོན་ནང་ཚུལ།་ཁྱོད་ཚོས་ཨེ་འདྲའི་ལབ་སོང་། ་ཚོ་བཤེད་མ་སོང། ང་ཚོ་ྲ་ལབ་སོང་ཡོད་བ། ཨ་ཅག་མོ་རང་འདྲ་བོ་ཡིན་ན་ད་ང་ཚོ་ཨ་ཅག་མོ་རང་གཉིས་ད་ང་ཚོའ་བསླབ་བྱ་འདྲ་བོ་རེད་ཤག ག་རེ་བྱས་ནས་ལབ་ན་ང་ཚོ་ད་ལྟ།
STT_AB00311_0149_1789636_to_1802516,གིས་ཉན་འདོད་མ་བྱས་པར་ལངས་ཏེ་ཕྱིན་ནས་བྱ་ཐབས་མ་བྱུང་། དེ་ནས་བཟུང་པདྨ་ལྷ་མཛེས་ཀིས་རང་གི་ཁང་པའི་སྒོ་མནན་ཞིང་ལྟོ་ཆས་ཀྱང་མ་བཟས་པར་བསྡད་པས། མ་ཡིས་བུ་མོའི་སར་ཕྱིན་ནས་སྒོ་འགྲམ་ནས་བསླབ་བྱ་ཇི་ལྟར་བྱས་རུང་རྩ་བ་ནས་མ་ཉན་པར་ ,gis nyan 'dod ma byas par langs te phyin nas bya thabs ma byung /_de nas bzung pad+ma lha mdzes kis rang gi khang pa'i sgo mnan zhing lto chas kyang ma bzas par bsdad pas/_ma yis bu mo'i sar phyin nas sgo 'gram nas bslab bya ji ltar byas rung rtsa ba nas ma nyan par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00311_0149_1789636_to_1802516.wav,STT_AB,3,210,12.88,wav16k/STT_AB00311_0149_1789636_to_1802516.wav,གི་ཉན་ཐོས་མ་བྱས་པར་བླངས་ཏེ་ཕྱིན་ནས་བྱ་ཐབས་མ་བྱུང་། དེ་ནས་བཟུང་པདྨ་ལྷ་མཛེས་ཀྱིས་རང་གི་ཁང་པའི་སྒོ་གནས་ཤིང་ལྟོ་ཆས་ཀྱང་མ་བཟས་པར་བསྡད་པས་མ་ཡི་བུ་མོའི་སར་ཕྱིན་ནས་སྒོ་འགྲམ་ནས་བསླབ་བྱ་ཇི་ལྟར་བྱས་རུང་རྩ་བ་ནས་མ་ཉན་པར་
STT_MV0749_0212_2249460_to_2256357,ཁོ་རང་གཉིས་ཚུར་ཕེབས་པ་ནས་བཟུང་། ཁྱེད་རང་གཉིས་ཀིས་ངོ་ནག་བསྟན་ཆོག་མི་ཡོང་། གད་མོ་བགད་སར་བགད། ཆོབ་སྐུལ་སར་སྐུལ།  ,kho rang gnyis tshur phebs pa nas bzung /_khyed rang gnyis kis ngo nag bstan chog mi yong /_gad mo bgad sar bgad/_chob skul sar skul/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0749_0212_2249460_to_2256357.wav,STT_MV,3,110,6.897,wav16k/STT_MV0749_0212_2249460_to_2256357.wav,ཁོ་རང་གཉིས་ཚུར་ཕེབས་པ་ནས་བཟུང་། ཁྱེད་རང་གཉིས་ཀིས་ངོ་ནག་བསྟན་ཆོག་མི་ཡོང་། གད་མོ་གྱལ་སར་གྱིས། ཆོག་སྐུལ་སར་བསྐུལ།
STT_CS-L-2016_2016-P_P-D_D-B02_B01-1_1-R_R-01_0255_2042755_to_2045179,ལེགས་བཟང་སེམས་པ་ཡག་ག ,legs bzang sems pa yag ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B01-1_1-R_R-01_0255_2042755_to_2045179.wav,STT_CS,3,21,2.424,wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B01-1_1-R_R-01_0255_2042755_to_2045179.wav,ལེགས་བཟང་སེམས་པ་ཡག་ག
STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0184_1381680_to_1383865,མོག་མོག་བཟོ།  ,mog mog bzo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0184_1381680_to_1383865.wav,STT_CS,3,14,2.185,wav16k/STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0184_1381680_to_1383865.wav,ངོ་སོང།
